"BOROUGH","NEIGHBORHOOD","BUILDING CLASS CATEGORY","TAX CLASS AS OF FINAL ROLL","BLOCK","LOT","EASE-MENT","BUILDING CLASS AS OF FINAL ROLL","ADDRESS","APARTMENT NUMBER","ZIP CODE","RESIDENTIAL UNITS","COMMERCIAL UNITS","TOTAL UNITS","LAND SQUARE FEET","GROSS SQUARE FEET","YEAR BUILT","TAX CLASS AT TIME OF SALE","BUILDING CLASS AT TIME OF SALE","SALE PRICE","SALE DATE","Latitude","Longitude","Community Board","Council District","BIN","BBL","Census Tract 2020","Neighborhood Tabulation Area (NTA) (2020)"
"3","BENSONHURST","02  TWO FAMILY DWELLINGS","1","6282","15",,"B1","1528 80TH STREET",,"11228","2","0","2","2,483","3,330","1935","1","B1","$0","01/17/2016","40.614332","-74.005215","311","43","3163164","3062820015","184","BK1101"
"3","MARINE PARK","01  ONE FAMILY DWELLINGS","1","7698","43",,"A5","3612 FLATLANDS AVENUE",,"11234","1","0","1","1,845","1,472","1925","1","A5","$0","01/17/2016","40.618082","-73.940206","318","45","3211847","3076980043","646","BK1802"
"3","SUNSET PARK","03  THREE FAMILY DWELLINGS","1","847","16",,"C0","426 57TH STREET",,"11220","3","0","3","2,003","2,820","1910","1","C0","$10","01/17/2016","40.642062","-74.015862","307","38","3015661","3008470016","74","BK0702"
"3","SUNSET PARK","09  COOPS - WALKUP APARTMENTS","2","918","52",,"C6","637 41ST STREET, 4C",,"11232","0","0","0","0","0","1924","2","C6","$272,500","01/17/2016","40.648285","-74.001964","307","38","3018052","3009180052","88","BK0703"
"3","WILLIAMSBURG-SOUTH","44  CONDO PARKING","4","2129","1742",,"RG","26 BROADWAY","PKG10","11249","0","0","1","0","0","2006","4","RG","$60,000","01/17/2016","40.710752","-73.967973","301","33","3424338","3021297507","549","BK0102"
"4","GLEN OAKS","10  COOPS - ELEVATOR APARTMENTS","2","8489","1",,"D4","26910 GRAND CENTRAL PARKWA, 31W",,"11005","0","0","0","0","0","1972","2","D4","$1,075,000","01/17/2016",,,,,,,,
"4","SOUTH OZONE PARK","01  ONE FAMILY DWELLINGS","1","11622","53",,"A1","111-23 117TH   STREET",,"11420","1","0","1","2,930","1,920","1935","1","A1","$0","01/17/2016","40.679738","-73.822898","410","28","4250409","4116220053","102","QN1001"
"4","SPRINGFIELD GARDENS","01  ONE FAMILY DWELLINGS","1","12279","12",,"A2","132-14 155TH STREET",,"11434","1","0","1","4,000","840","1950","1","A2","$0","01/17/2016","40.672206","-73.782456","412","28","4266201","4122790012","294","QN1204"
"3","GREENPOINT","31  COMMERCIAL VACANT LAND","4","2714","33",,"V1","470 MANHATTAN AVE",,"11222","0","1","1","10,020","0","1963","4","V1","$0","01/18/2016","40.720241","-73.947669","301","33","3000000","3027140033","499","BK0101"
"4","RIDGEWOOD","02  TWO FAMILY DWELLINGS","1","3417","97",,"B3","1736 STARR ST",,"11385","2","0","2","1,800","1,260","1945","1","B3","$0","01/18/2016","40.708711","-73.919483","405","34","4081584","4034170097","53901","QN0502"
"4","RIDGEWOOD","02  TWO FAMILY DWELLINGS","1","3533","20",,"B1","60-90 68TH AVENUE",,"11385","2","0","2","1,800","3,245","1910","1","B1","$0","01/18/2016","40.705009","-73.896812","405","30","4085130","4035330020","585","QN0502"
"4","ROCKAWAY PARK","01  ONE FAMILY DWELLINGS","1","16158","21",,"A5","326 SEASIDE AVENUE",,"11694","1","0","1","2,444","1,332","2002","1","A1","$0","01/18/2016",,,,,"4463613","4161580021","938","QN1403"
"1","ALPHABET CITY","09  COOPS - WALKUP APARTMENTS","2","391","20",,"C6","626 EAST 9TH ST, 3FW",,"10009","0","0","0","0","0","1910","2","C6","$48,000","01/18/2016","40.72585","-73.979338","103","2","1004743","1003910020","2602","MN0303"
"1","HARLEM-CENTRAL","13  CONDOS - ELEVATOR APARTMENTS","2","2033","1070",,"R4","220 W 148TH STREET","PH-6C","10039","1","0","1","0","0","0","2","R4","$1,600,000","01/18/2016","40.82393","-73.938562","110","9","1060526","1020337501","234","MN1002"
"1","LITTLE ITALY","43  CONDO OFFICE BUILDINGS","4","482","1007",,"RB","406 BROOME STREET","2C","10013","0","0","1","0","0","1900","4","RB","$0","01/18/2016","40.720876","-73.997731","102","1","1066733","1004827501","45","MN0201"
"1","LITTLE ITALY","43  CONDO OFFICE BUILDINGS","4","482","1008",,"RB","406 BROOME STREET","2D","10013","0","0","1","0","0","1900","4","RB","$0","01/18/2016","40.720876","-73.997731","102","1","1066733","1004827501","45","MN0201"
"1","LITTLE ITALY","43  CONDO OFFICE BUILDINGS","4","482","1009",,"RB","406 BROOME STREET","2E","10013","0","0","1","0","0","1900","4","RB","$0","01/18/2016","40.720876","-73.997731","102","1","1066733","1004827501","45","MN0201"
"1","MIDTOWN WEST","26  OTHER HOTELS","4","1009","37",,"H3","102 WEST 57TH STREET",,"10019","0","2","2","7,532","112,850","2007","4","H3","$0","01/18/2016","40.764455","-73.977532","105","4","1089420","1010090037","137","MN0502"
"1","MIDTOWN WEST","45  CONDO HOTELS","4","1006","1302",,"RH","1335 AVENUE OF THE AMER","TIMES","10019","0","0","1","0","0","1963","4","RH","$12,447","01/18/2016","40.762218","-73.978742","105","4","1023163","1010067502","131","MN0502"
"1","MIDTOWN WEST","45  CONDO HOTELS","4","1027","1135",,"RH","870 7 AVENUE","TIM22","10019","0","0","1","0","0","0","4","RH","$0","01/18/2016","40.764521","-73.980773","105","4","1024878","1010277501","137","MN0502"
"1","UPPER EAST SIDE (79-96)","10  COOPS - ELEVATOR APARTMENTS","2","1550","1",,"D4","301 EAST 87TH STREET, 7A",,"10128","0","0","0","0","0","1973","2","D4","$800,000","01/18/2016","40.778409","-73.950887","108","5","1050044","1015500001","14602","MN0803"
"1","UPPER WEST SIDE (59-79)","45  CONDO HOTELS","4","1138","1465",,"RH","1965 BROADWAY","4J","10023","0","0","1","0","0","0","4","RH","$211,460","01/18/2016","40.774123","-73.982229","107","6","1028839","1011387502","15302","MN0701"
"2","CROTONA PARK","03  THREE FAMILY DWELLINGS","1","3000","20",,"C0","1498 BRYANT AVENUE",,"10460","3","0","3","2,500","3,300","1931","1","C0","$237,500","01/18/2016","40.832688","-73.887359","203","17","2010856","2030000020","157","BX0303"
"2","MORRIS PARK/VAN NEST","07  RENTALS - WALKUP APARTMENTS","2B","4125","29",,"C1","1815 RADCLIFF AVENUE",,"10462","7","0","7","2,500","6,000","1928","2","C1","$600,000","01/18/2016","40.848215","-73.857477","211","13","2045351","2041250029","244","BX1102"
"2","PELHAM PARKWAY SOUTH","10  COOPS - ELEVATOR APARTMENTS","2","4319","30",,"D4","2199 HOLLAND AVENUE, 1G",,"10462","0","0","0","0","0","1930","2","D4","$35,000","01/18/2016","40.856338","-73.865705","211","13","2049407","2043190030","22403","BX1101"
"3","BENSONHURST","07  RENTALS - WALKUP APARTMENTS","2A","5571","48",,"C3","2061 68TH   STREET",,"11204","4","0","4","2,800","3,510","1931","2","C3","$0","01/18/2016","40.614038","-73.986371","311","47","3134773","3055710048","256","BK1101"
"3","BOROUGH PARK","01  ONE FAMILY DWELLINGS","1","5455","16",,"A1","1726 49TH STREET",,"11204","1","0","1","2,600","1,652","1930","1","A1","$2,050,000","01/18/2016","40.629084","-73.982293","312","44","3253229","3054550016","474","BK1202"
"3","BUSHWICK","02  TWO FAMILY DWELLINGS","1","3305","34",,"B2","98 BLEECKER STREET",,"11221","2","0","2","1,750","1,400","1930","1","B2","$0","01/18/2016","40.694911","-73.921418","304","34","3075622","3033050034","419","BK0402"
"3","CANARSIE","02  TWO FAMILY DWELLINGS","1","8062","10",,"B2","1273 EAST 83RD   STREET",,"11236","2","0","2","2,200","1,920","1940","1","B2","$0","01/18/2016","40.630937","-73.904391","318","46","3226629","3080620010","1004","BK1803"
"3","CANARSIE","02  TWO FAMILY DWELLINGS","1","8242","38",,"B3","1321 EAST 96TH   STREET",,"11236","2","0","2","1,609","1,529","1920","1","B3","$180,000","01/18/2016","40.639717","-73.89763","318","46","3231798","3082420038","990","BK1803"
"3","CROWN HEIGHTS","02  TWO FAMILY DWELLINGS","1","1366","76",,"B9","1357 PARK PLACE",,"11213","2","0","2","2,044","1,920","1910","1","B9","$25,000","01/18/2016","40.672458","-73.932338","308","36","3036265","3013660076","345","BK0802"
"3","DYKER HEIGHTS","03  THREE FAMILY DWELLINGS","1","6256","31",,"C0","1356 78TH STREET",,"11228","3","0","3","2,267","3,372","1915","1","C0","$0","01/18/2016","40.617845","-74.008014","310","43","3161907","3062560031","198","BK1002"
"3","FLATBUSH-EAST","01  ONE FAMILY DWELLINGS","1","7634","27",,"A9","1305 EAST 34TH   STREET",,"11210","1","0","1","2,000","1,326","1925","1","A9","$370,000","01/18/2016","40.623694","-73.942424","318","45","3208911","3076340027","744","BK1801"
"3","GREENPOINT","31  COMMERCIAL VACANT LAND","4","2714","30",,"V1","125 NEWTON STREET",,"11222","0","1","1","5,000","0","1920","4","V1","$0","01/18/2016","40.72051","-73.94698","301","33","3000000","3027140030","499","BK0101"
"3","GREENPOINT","31  COMMERCIAL VACANT LAND","4","2714","32",,"V1","119 NEWTON STREET",,"11222","0","1","1","1,656","0","1940","4","V1","$0","01/18/2016","40.72043","-73.947113","301","33","3000000","3027140032","499","BK0101"
"3","WILLIAMSBURG-CENTRAL","03  THREE FAMILY DWELLINGS","1","2204","45",,"C0","113 HEWES ST",,"11249","3","0","3","1,420","2,644","1899","1","C0","$1,430,000","01/18/2016","40.702098","-73.959978","301","33","3060302","3022040045","537","BK0103"
"3","WILLIAMSBURG-CENTRAL","13  CONDOS - ELEVATOR APARTMENTS","2","2240","2204",,"R4","13 LORIMER","2B","11206","1","0","1","0","0","2002","2","R4","$0","01/18/2016",,,,,,,,
"4","ASTORIA","02  TWO FAMILY DWELLINGS","1","650","18",,"B1","30-65 35TH STREET",,"11103","2","0","2","2,500","3,520","1930","1","B1","$0","01/18/2016","40.763886","-73.919405","401","22","4009905","4006500018","63","QN0103"
"4","ASTORIA","03  THREE FAMILY DWELLINGS","1","702","56",,"C0","2530 44 STREET",,"11103","3","0","3","2,500","3,315","1980","1","C0","$0","01/18/2016","40.76606","-73.908825","401","22","4012273","4007020056","143","QN0104"
"4","BAYSIDE","02  TWO FAMILY DWELLINGS","1","7527","19",,"B2","221-46 59TH   AVENUE",,"11364","2","0","2","3,433","3,374","1970","1","B2","$860,000","01/18/2016","40.75059","-73.755914","411","23","4161666","4075270019","138501","QN1102"
"4","BAYSIDE","10  COOPS - ELEVATOR APARTMENTS","2","5938","7",,"D4","18-15 215TH STREET, 2R",,"11360","0","0","0","0","0","1969","2","D4","$0","01/18/2016","40.783752","-73.776303","407","19","4454676","4059380007","99703","QN0703"
"4","BAYSIDE","13  CONDOS - ELEVATOR APARTMENTS","2","5893","1696",,"R4","2 BAY CLUB DRIVE","8Y","11360","1","0","1","0","0","1972","2","R4","$498,000","01/18/2016","40.779641","-73.7807","407","19","4610766","4058937501","99704","QN0703"
"4","BEECHHURST","01  ONE FAMILY DWELLINGS","1","4561","75",,"A1","14-68 155TH STREET",,"11357","1","0","1","4,000","2,248","1925","1","A1","$0","01/18/2016","40.787974","-73.806868","407","19","4103807","4045610075","991","QN0702"
"4","CAMBRIA HEIGHTS","01  ONE FAMILY DWELLINGS","1","11309","5",,"A5","115-107 227TH   STREET",,"11411","1","0","1","2,142","882","1935","1","A5","$0","01/18/2016","40.695292","-73.732943","413","27","4244029","4113090005","600","QN1304"
"4","COLLEGE POINT","03  THREE FAMILY DWELLINGS","1","4052","13",,"C0","14-09 117 STREET",,"11356","3","0","3","1,867","2,662","1990","1","C0","$0","01/18/2016","40.785448","-73.850386","407","19","4431706","4040520013","929","QN0701"
"4","CORONA","03  THREE FAMILY DWELLINGS","1","1888","54",,"C0","51-02 97TH STREET",,"11368","3","0","3","2,025","3,841","1969","1","C0","$350,000","01/18/2016","40.740999","-73.865627","404","21","4046782","4018880054","44302","QN0402"
"4","ELMHURST","13  CONDOS - ELEVATOR APARTMENTS","2","1505","1011",,"R4","40-35 ITHACA STREET","5B","11373","1","0","1","0","0","1937","2","R4","$385,000","01/18/2016","40.745974","-73.882388","404","25","4037178","4015057501","26901","QN0401"
"4","FLUSHING-NORTH","02  TWO FAMILY DWELLINGS","1","4804","62",,"B3","147-39 28TH   AVENUE",,"11354","2","0","2","2,800","1,619","1960","1","B3","$0","01/18/2016","40.773074","-73.819263","407","19","4108694","4048040062","1047","QN0704"
"4","FLUSHING-SOUTH","01  ONE FAMILY DWELLINGS","1","6532","73",,"A5","144-21 68TH   AVENUE",,"11367","1","0","1","1,800","1,224","1950","1","A5","$0","01/18/2016","40.733563","-73.824432","408","24","4141977","4065320073","809","QN0801"
"4","FLUSHING-SOUTH","01  ONE FAMILY DWELLINGS","1","6813","14",,"A5","153-18 77TH ROAD",,"11367","1","0","1","1,800","1,224","1960","1","A5","$0","01/18/2016","40.722797","-73.81156","408","24","4147574","4068130014","77904","QN0801"
"4","FLUSHING-SOUTH","01  ONE FAMILY DWELLINGS","1","6963","56",,"A5","70-12 UTOPIA PARKWAY",,"11365","1","0","1","1,907","1,933","1940","1","A5","$0","01/18/2016","40.730938","-73.793824","408","24","4150664","4069630056","1247","QN0802"
"4","HOLLIS","02  TWO FAMILY DWELLINGS","1","9916","58",,"B2","89-14 181ST ST",,"11423","2","0","2","2,375","2,240","1925","1","B2","$0","01/18/2016","40.711717","-73.781133","412","27","4212400","4099160058","468","QN1201"
"4","HOWARD BEACH","02  TWO FAMILY DWELLINGS","1","14210","34",,"B2","164-55 96TH   STREET",,"11414","2","0","2","4,000","2,611","1960","1","B2","$10","01/18/2016","40.650324","-73.834742","410","32","4296078","4142100034","884","QN1003"
"4","JAMAICA","02  TWO FAMILY DWELLINGS","1","9822","43",,"B2","168-45 88TH AVENUE",,"11432","2","0","2","2,242","2,160","1920","1","B2","$0","01/18/2016","40.709791","-73.793255","412","27","4210137","4098220043","460","QN1201"
"4","KEW GARDENS","01  ONE FAMILY DWELLINGS","1","9244","71",,"A1","125-21 METROPOLITAN AVENUE",,"11415","1","0","1","2,226","1,904","1920","1","A1","$0","01/18/2016","40.704518","-73.826038","409","29","4193126","4092440071","136","QN0901"
"4","LITTLE NECK","01  ONE FAMILY DWELLINGS","1","8138","30",,"A1","43-03 WESTMORELAND STREET",,"11363","1","0","1","4,000","1,540","1940","1","A1","$0","01/18/2016","40.772005","-73.736253","411","19","4169524","4081380030","1479","QN1103"
"4","LONG ISLAND CITY","02  TWO FAMILY DWELLINGS","1","600","27",,"S2","31-04 36TH AVENUE",,"11106","2","1","3","1,760","3,000","1925","1","S2","$0","01/18/2016","40.756509","-73.929615","401","26","4007901","4006000027","51","QN0105"
"4","MIDDLE VILLAGE","02  TWO FAMILY DWELLINGS","1","3799","38",,"B1","79-68 68TH   ROAD",,"11379","2","0","2","2,000","1,640","1950","1","B1","$200,000","01/18/2016","40.710525","-73.871637","405","30","4092268","4037990038","621","QN0504"
"4","OZONE PARK","02  TWO FAMILY DWELLINGS","1","11375","39",,"S2","133-10 CROSSBAY BLVD",,"11417","2","1","3","1,714","2,000","1931","1","S2","$600,000","01/18/2016","40.674989","-73.843268","410","32","4245793","4113750039","58","QN1002"
"4","QUEENS VILLAGE","01  ONE FAMILY DWELLINGS","1","7943","222",,"A1","230-09 87 AVENUE",,"11427","1","0","1","3,601","1,603","1925","1","A1","$0","01/18/2016","40.731443","-73.73852","413","23","4166342","4079430222","1301","QN1302"
"4","QUEENS VILLAGE","01  ONE FAMILY DWELLINGS","1","10696","43",,"A1","218-22 94TH   ROAD",,"11428","1","0","1","3,060","1,616","1920","1","A1","$0","01/18/2016","40.720214","-73.737295","413","23","4229106","4106960043","566","QN1303"
"4","REGO PARK","13  CONDOS - ELEVATOR APARTMENTS","2","3102","1062",,"R4","87-30 62ND AVENUE","6F","11374","1","0","1","0","0","1987","2","R4","$272,500","01/18/2016","40.728632","-73.868701","406","29","4312067","4031027501","695","QN0601"
"4","RICHMOND HILL","02  TWO FAMILY DWELLINGS","1","9576","16",,"B2","104-22 123RD   STREET",,"11419","2","0","2","2,342","1,938","1930","1","B2","$0","01/18/2016","40.687203","-73.820635","410","28","4204408","4095760016","15802","QN1001"
"4","RICHMOND HILL","02  TWO FAMILY DWELLINGS","1","9576","17",,"B2","104-24 123RD   STREET",,"11419","2","0","2","2,342","1,938","1930","1","B2","$0","01/18/2016","40.687203","-73.820635","410","28","4204409","4095760017","15802","QN1001"
"4","RICHMOND HILL","03  THREE FAMILY DWELLINGS","1","9421","54",,"C0","101-35 103RD   STREET",,"11416","3","0","3","2,350","3,050","1980","1","C0","$0","01/18/2016","40.685653","-73.839742","409","28","4198423","4094210054","112","QN0904"
"4","ROCKAWAY PARK","02  TWO FAMILY DWELLINGS","1","16213","30",,"B3","211 BEACH 117TH STREET",,"11694","2","0","2","4,000","1,900","1905","1","B3","$0","01/18/2016","40.579875","-73.838325","414","32","4304483","4162130030","93402","QN1403"
"4","ST. ALBANS","01  ONE FAMILY DWELLINGS","1","11032","44",,"A1","191-49 115TH   ROAD",,"11412","1","0","1","3,000","1,620","1925","1","A1","$0","01/18/2016","40.695273","-73.761352","412","27","4237331","4110320044","526","QN1205"
"4","ST. ALBANS","07  RENTALS - WALKUP APARTMENTS","2B","12629","1",,"C1","118-07 200TH   STREET",,"11412","8","0","8","2,300","1,408","1930","2","C1","$0","01/18/2016","40.693037","-73.751898","412","27","4272041","4126290001","376","QN1205"
"4","WHITESTONE","01  ONE FAMILY DWELLINGS","1","4537","86",,"A1","12-08 154TH STREET",,"11357","1","0","1","3,951","1,258","1925","1","A1","$0","01/18/2016","40.79137","-73.807368","407","19","4103048","4045370086","987","QN0702"
"4","WHITESTONE","01  ONE FAMILY DWELLINGS","1","4735","50",,"A5","154-15 20TH ROAD",,"11357","1","0","1","2,825","1,710","1950","1","A5","$0","01/18/2016","40.780127","-73.808447","407","19","4107488","4047350050","1033","QN0702"
"4","WHITESTONE","02  TWO FAMILY DWELLINGS","1","4503","25",,"B3","11-06 150 STREET",,"11357","2","0","2","4,200","2,139","1935","1","B3","$0","01/18/2016","40.791336","-73.814811","407","19","4102413","4045030025","981","QN0702"
"4","WHITESTONE","02  TWO FAMILY DWELLINGS","1","4766","5",,"B1","1611 163 STREET",,"11357","2","0","2","4,183","1,900","1980","1","B1","$0","01/18/2016","40.784169","-73.799975","407","19","4107841","4047660005","1017","QN0703"
"5","BULLS HEAD","01  ONE FAMILY DWELLINGS","1","1599","118",,"A1","71 FIELDSTONE ROAD",,"10314","1","0","1","4,232","1,988","1970","1","A1","$0","01/18/2016","40.613417","-74.165739","502","50","5031566","5015990118","29104","SI0204"
"5","DONGAN HILLS","02  TWO FAMILY DWELLINGS","1","3344","29",,"S2","289 SEAVIEW AVENUE",,"10305","2","1","3","2,770","2,500","1920","1","S2","$0","01/18/2016","40.586767","-74.092608","502","50","5049454","5033440029","9602","SI0201"
"5","ELTINGVILLE","02  TWO FAMILY DWELLINGS","1","5639","42",,"B2","88 LOVELACE AVENUE",,"10312","2","0","2","4,725","2,268","1965","1","B2","$0","01/18/2016","40.553594","-74.174706","503","51","5075355","5056390042","17012","SI0302"
"5","GREAT KILLS","01  ONE FAMILY DWELLINGS","1","5293","92",,"A2","204 WINCHESTER AVENUE",,"10312","1","0","1","4,000","1,025","1950","1","A2","$0","01/18/2016","40.537057","-74.155383","503","51","5068043","5052930092","15601","SI0302"
"5","HUGUENOT","02  TWO FAMILY DWELLINGS","1","6324","62",,"B2","93 COLLYER AVENUE",,"10312","2","0","2","10,000","2,832","1980","1","B2","$0","01/18/2016","40.53507","-74.186102","503","51","5081421","5063240062","17005","SI0304"
"5","MANOR HEIGHTS","01  ONE FAMILY DWELLINGS","1","765","65",,"A5","202 PERRY AVENUE",,"10314","1","0","1","3,150","1,216","1965","1","A5","$0","01/18/2016","40.60681","-74.129705","502","49","5019615","5007650065","18703","SI0203"
"5","MIDLAND BEACH","01  ONE FAMILY DWELLINGS","1","3802","14",,"A5","864 NUGENT AVENUE",,"10306","1","0","1","2,200","1,600","1980","1","A5","$0","01/18/2016","40.573287","-74.095908","502","50","5091480","5038020014","11203","SI0202"
"5","NEW DORP-HEIGHTS","01  ONE FAMILY DWELLINGS","1","939","242",,"A1","94 ALTAMONT STREET",,"10306","1","0","1","5,229","1,536","1965","1","A1","$0","01/18/2016","40.58007","-74.118778","502","50","5023351","5009390242","181","SI0203"
"5","NEW DORP-HEIGHTS","01  ONE FAMILY DWELLINGS","1","4369","80",,"A5","77 AMBER STREET",,"10306","1","0","1","2,756","1,296","1965","1","A5","$0","01/18/2016","40.567921","-74.129586","503","50","5059838","5043690080","138","SI0301"
"5","WOODROW","02  TWO FAMILY DWELLINGS","1","6967","37",,"B9","1035 RATHBUN AVENUE",,"10309","2","0","2","2,500","1,440","1987","1","B9","$0","01/18/2016","40.53606","-74.21082","503","51","5085342","5069670037","20803","SI0304"
"3","MIDWOOD","01  ONE FAMILY DWELLINGS","1","6696","55",,"A9","881 EAST 12TH   STREET",,"11230","1","0","1","2,000","2,176","1925","1","A9","$0","01/19/2016","40.627732","-73.964702","314","45","3179230","3066960055","530","BK1403"
"1","ALPHABET CITY","15  CONDOS - 2-10 UNIT RESIDENTIAL","2C","384","1104",,"R1","235 EAST 2ND   STREET","4","10009","1","0","1","0","0","2003","2","R1","$1,250,000","01/19/2016","40.721462","-73.982142","103","2","1086550","1003847501","2202","MN0303"
"1","CHELSEA","13  CONDOS - ELEVATOR APARTMENTS","2","691","1138",,"R4","505 WEST 19TH   STREET","8W","10011","1","0","1","0","0","2013","2","R4","$8,767,132","01/19/2016","40.745425","-74.006395","104","3","1090162","1006917502","9901","MN0401"
"1","CHELSEA","17  CONDO COOPS","2","746","1202",,"R9","249 8 AVENUE, RES",,"10011","0","0","0","0","0","1931","2","R9","$1,925,000","01/19/2016","40.744986","-73.998722","104","3","1013429","1007467503","93","MN0401"
"1","FLATIRON","13  CONDOS - ELEVATOR APARTMENTS","2","826","1042",,"R4","1107 BROADWAY","7B","10010","1","0","1","0","0","1915","2","R4","$5,193,075","01/19/2016","40.742743","-73.989213","105","3","1015602","1008267501","58","MN0501"
"1","GREENWICH VILLAGE-CENTRAL","10  COOPS - ELEVATOR APARTMENTS","2","564","26",,"D0","39 EAST 12TH STREET, 410",,"10003","0","0","0","0","0","1900","2","D0","$800,000","01/19/2016","40.733642","-73.992109","102","2","1009204","1005640026","61","MN0202"
"1","GREENWICH VILLAGE-CENTRAL","10  COOPS - ELEVATOR APARTMENTS","2","566","18",,"D4","20 EAST 9TH STREET, 23E",,"10003","0","0","0","0","0","1964","2","D4","$2,895,000","01/19/2016","40.732379","-73.994829","102","2","1009223","1005660018","59","MN0202"
"1","GREENWICH VILLAGE-CENTRAL","13  CONDOS - ELEVATOR APARTMENTS","2","525","1713",,"R4","184 THOMPSON STREET","4U","10012","1","0","1","0","0","1910","2","R4","$680,000","01/19/2016","40.727988","-74.000032","102","1","1008266","1005257506","65","MN0202"
"1","GREENWICH VILLAGE-CENTRAL","13  CONDOS - ELEVATOR APARTMENTS",,"539","1109",,,"209 SULLIVAN STREET",,"0","0","0","0","0","0","0","2","R4","$3,538,418","01/19/2016","40.729212","-74.000072","102","1","1089865","1005397501","65","MN0202"
"1","GREENWICH VILLAGE-WEST","10  COOPS - ELEVATOR APARTMENTS","2","620","19",,"D4","350 BLEECKER STREET, 1R",,"10014","0","0","0","0","0","1962","2","D4","$1,020,000","01/19/2016","40.734106","-74.004601","102","3","1011189","1006200019","73","MN0203"
"1","GREENWICH VILLAGE-WEST","13  CONDOS - ELEVATOR APARTMENTS","2","636","1277",,"R4","150 CHARLES STREET","8CS","10014","1","0","1","0","0","1938","2","R4","$8,938,832","01/19/2016","40.734034","-74.008811","102","3","1089743","1006367503","75","MN0203"
"1","HARLEM-CENTRAL","13  CONDOS - ELEVATOR APARTMENTS","2","1600","1219",,"R4","23 WEST 116 STREET","4B","10026","1","0","1","0","0","2013","2","R4","$1,300,000","01/19/2016","40.801096","-73.947457","110","9","1089780","1016007503","190","MN1001"
"1","HARLEM-EAST","03  THREE FAMILY DWELLINGS","1","1660","110",,"C0","223 EAST 110 STREET",,"10029","3","0","3","2,212","2,898","1996","1","C0","$2,050,000","01/19/2016","40.79385","-73.942114","111","8","1085262","1016600110","180","MN1102"
"1","HARLEM-EAST","13  CONDOS - ELEVATOR APARTMENTS","2","1627","1007",,"R4","158 EAST 100TH STREET","3RR","10029","1","0","1","0","0","2004","2","R4","$252,000","01/19/2016","40.788243","-73.948641","111","5","1087366","1016277501","166","MN1101"
"1","HARLEM-UPPER","09  COOPS - WALKUP APARTMENTS","2","2066","57",,"C6","464 WEST 152 STREET, 54",,"10031","0","0","0","0","0","1920","2","C6","$390,000","01/19/2016","40.829238","-73.943435","109","7","1061604","1020660057","23501","MN0903"
"1","HARLEM-WEST","08  RENTALS - ELEVATOR APARTMENTS","2","2002","52",,"D1","606 WEST 137 STREET",,"10031","26","0","26","6,495","27,810","1905","2","D1","$7,900,000","01/19/2016","40.821577","-73.954599","109","7","1059965","1020020052","22301","MN0902"
"1","INWOOD","10  COOPS - ELEVATOR APARTMENTS","2","2243","306",,"D4","95 PARK TERRACE EAST, 5C",,"10034","0","0","0","0","0","1925","2","D4","$355,000","01/19/2016","40.871297","-73.915449","112","10","1065024","1022430306","307","MN1203"
"1","LOWER EAST SIDE","10  COOPS - ELEVATOR APARTMENTS","2","331","120",,"D4","530 GRAND STREET, F9G",,"10002","0","0","0","0","0","1949","2","D4","$545,000","01/19/2016","40.714413","-73.981437","103","1","1076783","1003310120","12","MN0302"
"1","MANHATTAN VALLEY","13  CONDOS - ELEVATOR APARTMENTS","2","1833","4291",,"R4","400 CENTRAL PARK WEST","15J","10025","1","0","1","0","0","1960","2","R4","$0","01/19/2016","40.793946","-73.963036","107","7","1055288","1018337504","185","MN0703"
"1","MIDTOWN CBD","13  CONDOS - ELEVATOR APARTMENTS","2","1292","1383",,"R4","432 PARK AVENUE","49C","10022","1","0","1","0","0","2012","2","R4","$15,047,387","01/19/2016","40.761042","-73.971176","105","4","1088817","1012927502","11202","MN0502"
"1","MIDTOWN WEST","13  CONDOS - ELEVATOR APARTMENTS","2","1005","1067",,"R4","135 WEST 52ND STREET","22D","10019","1","0","1","0","0","1987","2","R4","$2,576,172","01/19/2016","40.761736","-73.980883","105","4","1023160","1010057501","131","MN0502"
"1","MIDTOWN WEST","13  CONDOS - ELEVATOR APARTMENTS","2","1005","1075",,"R4","135 WEST 52ND STREET","24D","10019","1","0","1","0","0","1987","2","R4","$2,606,720","01/19/2016","40.761736","-73.980883","105","4","1023160","1010057501","131","MN0502"
"1","MIDTOWN WEST","13  CONDOS - ELEVATOR APARTMENTS","2","1274","1545",,"R4","768 5 AVENUE","1203","10019","1","0","1","0","0","0","2","R4","$11,353,487","01/19/2016","40.764155","-73.973951","105","4","1035253","1012747504","11201","MN0502"
"1","MIDTOWN WEST","21  OFFICE BUILDINGS","4","1002","1",,"O4","745 7 AVENUE",,"10019","0","1","1","62,459","1,020,000","1999","4","O4","$0","01/19/2016","40.760605","-73.983612","105","4","1084667","1010020001","125","MN0502"
"1","MIDTOWN WEST","26  OTHER HOTELS","4","1009","37",,"H3","102 WEST 57TH STREET",,"10019","0","2","2","7,532","112,850","2007","4","H3","$0","01/19/2016","40.764455","-73.977532","105","4","1089420","1010090037","137","MN0502"
"1","MIDTOWN WEST","26  OTHER HOTELS","4","1009","37",,"H3","102 WEST 57 STREET",,"10019","0","2","2","7,532","112,850","2007","4","H3","$31,990","01/19/2016","40.764455","-73.977532","105","4","1089420","1010090037","137","MN0502"
