"BOROUGH","NEIGHBORHOOD","BUILDING CLASS CATEGORY","TAX CLASS AS OF FINAL ROLL","BLOCK","LOT","EASE-MENT","BUILDING CLASS AS OF FINAL ROLL","ADDRESS","APARTMENT NUMBER","ZIP CODE","RESIDENTIAL UNITS","COMMERCIAL UNITS","TOTAL UNITS","LAND SQUARE FEET","GROSS SQUARE FEET","YEAR BUILT","TAX CLASS AT TIME OF SALE","BUILDING CLASS AT TIME OF SALE","SALE PRICE","SALE DATE","Latitude","Longitude","Community Board","Council District","BIN","BBL","Census Tract 2020","Neighborhood Tabulation Area (NTA) (2020)"
"3","BOROUGH PARK","01  ONE FAMILY DWELLINGS","1","5543","53",,"A5","2159 64TH   STREET",,"11204","1","0","1","2,000","2,160","1920","1","A5","$0","01/01/2016","40.615033","-73.981789","311","47","3133332","3055430053","254","BK1101"
"3","BOROUGH PARK","02  TWO FAMILY DWELLINGS","1","5468","30",,"B1","1860 51ST STREET",,"11204","2","0","2","2,170","3,408","1945","1","B1","$0","01/01/2016","40.626155","-73.980464","312","44","3129730","3054680030","472","BK1202"
"3","BOROUGH PARK","07  RENTALS - WALKUP APARTMENTS","2","5736","65",,"C1","969 64TH   STREET","16","11219","16","0","16","4,000","13,920","1931","2","C1","$0","01/01/2016","40.630957","-74.008117","310","38","3141715","3057360065","212","BK1002"
"3","BRIGHTON BEACH","08  RENTALS - ELEVATOR APARTMENTS","2","8714","15",,"D1","3015 BRIGHTON 13TH STREET","60","11235","60","0","60","14,350","64,080","1942","2","D1","$0","01/01/2016","40.579948","-73.95553","313","48","3245566","3087140015","61004","BK1303"
"3","BROOKLYN HEIGHTS","07  RENTALS - WALKUP APARTMENTS","2B","210","17",,"C1","44 HICKS STREET","8","11201","8","0","8","1,545","4,080","1910","2","C1","$0","01/01/2016","40.700641","-73.993299","302","33","3001531","3002100017","1","BK0201"
"3","BROOKLYN HEIGHTS","22  STORE BUILDINGS","4","274","14",,"K2","89-91 ATLANTIC AVENUE",,"11201","0","2","2","3,000","4,500","1910","4","K2","$0","01/01/2016","40.691049","-73.997227","302","33","3002715","3002740014","7","BK0201"
"3","BUSH TERMINAL","07  RENTALS - WALKUP APARTMENTS","2A","829","46",,"C2","269 56 STREET",,"11220","6","0","6","2,003","3,705","1914","2","C2","$0","01/01/2016","40.644927","-74.019062","307","38","3014874","3008290046","22","BK0702"
"3","BUSHWICK","02  TWO FAMILY DWELLINGS","1","3172","121",,"B9","136 JEFFERSON ST",,"11206","2","0","2","1,667","3,384","2005","1","B9","$0","01/01/2016","40.700096","-73.930388","304","34","3388650","3031720121","425","BK0401"
"3","COBBLE HILL","07  RENTALS - WALKUP APARTMENTS","2","284","25",,"C7","108 ATLANTIC AVENUE","9","11201","9","3","12","3,375","11,490","1915","2","C7","$0","01/01/2016","40.690832","-73.99652","306","39","3002938","3002840025","49","BK0601"
"3","CROWN HEIGHTS","10  COOPS - ELEVATOR APARTMENTS","2","1415","16",,"D4","1710 CARROLL STREET, A2",,"11213","0","0","0","0","0","1926","2","D4","$0","01/01/2016","40.66605","-73.930161","309","41","3038167","3014150016","34902","BK0901"
"3","CROWN HEIGHTS","13  CONDOS - ELEVATOR APARTMENTS","2","1241","1009",,"R4","910 PARK PLACE","2D","11216","1","0","1","0","0","1910","2","R4","$180,000","01/01/2016","40.673289","-73.947861","308","36","3031550","3012417501","31701","BK0802"
"3","GRAVESEND","02  TWO FAMILY DWELLINGS","1","6678","36",,"B1","275 AVENUE S",,"11223","2","0","2","3,930","2,376","1955","1","B1","$0","01/01/2016","40.601517","-73.975145","311","47","3178336","3066780036","412","BK1103"
"3","KENSINGTON","10  COOPS - ELEVATOR APARTMENTS","2","5320","1",,"D4","71 OCEAN PARKWAY, 4J",,"11218","0","0","0","0","0","1936","2","D4","$10","01/01/2016","40.649369","-73.974922","307","39","3124031","3053200001","50401","BK0701"
"3","OCEAN PARKWAY-SOUTH","02  TWO FAMILY DWELLINGS","1","7244","52",,"S2","731 MONTAUK COURT",,"11235","2","1","3","2,781","3,498","1965","1","S2","$0","01/01/2016","40.585714","-73.961308","313","48","3196228","3072440052","370","BK1301"
"3","OCEAN PARKWAY-SOUTH","03  THREE FAMILY DWELLINGS","1","7135","36",,"C0","2170 EAST 9TH   STREET",,"11223","3","0","3","2,550","3,720","1925","1","C0","$0","01/01/2016","40.59683","-73.961852","315","47","3193157","3071350036","392","BK1501"
